ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-08-13,25-PC,Chi TT tiÒn mua èng giã mÒm vµ Joang xèp sö dông t¹i phßng mæ BVXA VÜnh Long,1111,,7820000,0
2019-08-13,30-PC,"Chi TT tiÒn mua m¸y khoan, pin sö dông t¹i phßng mæ BVXA VÜnh Long",1111,,9350000,0
2019-08-19,10-CCDC,NhËp CCDC (H§ 0004414 ngµy 19/08/2019) - Cty Phan Anh,331,,6484000,0
2019-08-19,11-CCDC,NhËp CCDC (H§ 0004418 ngµy 19/08/2019) - Cty Phan Anh,331,,16750000,0
2019-08-22,12-CCDC,NhËp CCDC (H§ 0004744 ngµy 22/08/2019) - Cty Phan Anh,331,,3300000,0
2019-08-23,13-CCDC,NhËp CCDC (H§ 0004864 ngµy 23/08/2019) - Cty Phan Anh,331,,5130000,0
2019-08-23,14-CCDC,NhËp CCDC (H§ 0004868 ngµy 23/08/2019) - Cty Phan Anh,331,,3680000,0
2019-08-26,02-CCDC,NhËp CCDC c¸c lo¹i (H§ 0056139 ngµy 26/08/2019) - Cöa hµng MIMI,331,,81356500,0
2019-08-26,03-CCDC,NhËp CCDC c¸c lo¹i (H§ 0056140 ngµy 26/08/2019) - Cöa hµng MIMI,331,,74050000,0
2019-08-27,06-CCDC,Mua CCDC c¸c lo¹i theo H§ sè: 0407/19/H§MB/BVXA ngµy 23/07/2019 (H§ 0076921 ngµy 27/08/2019) - Cöa hµng TuÊn KiÖt,331,,29100000,0
2019-08-28,08-CCDC,NhËp CCDC (H§ 0001731 ngµy 28/08/2019) - Cty ViÖt T©n,331,,2000000,0
2019-08-30,04-CCDC,"Mua trèng m¸y, hép mùc m¸y in (H§ 0000223 ngµy 30/08/2019) - Cty c«ng nghÖ Nam Khang",331,,9069500,0
2019-08-31,76-PC,Chi TT tiÒn mua 03 d©y ®o ®iÖn tim sö dông t¹i K.C§HA vµ K.CÊp Cøu - Cöa hµng vËt t­ y tÕ Quang Anh,1111,,16500000,0
2019-09-03,05-CCDC,NhËp CCDC (H§ 0005784 ngµy 03/09/2019) - Cty Phan Anh,331,,6200000,0
2019-09-03,06-CCDC,NhËp CCDC (H§ 0005785 ngµy 03/09/2019) - Cty Phan Anh,331,,8800000,0
2019-09-06,10-PC,Chi TT tiÒn mua 02 d©y ®o ®iÖn tim sö dông t¹i K.C§HA vµ K. CÊp cøu,1111,,11000000,0
2019-09-07,07-CCDC,NhËp CCDC (H§ 0006288 ngµy 07/09/2019) - Cty Phan Anh,331,,4500000,0
2019-09-10,21-PC,"Chi TT tiÒn mua m¸y ®o tèc ®é giã, nhiÖt ®é, DC ®o nhiÖt ®é SD t¹i phßng mæ",1111,,7260000,0
2019-09-13,01-CCDC,"Mua 10 c¸i m¸y xong khÝ dung, Model: NE-C900 theo H§ sè: 089.19/VGM-KD/H§ ngµy 12/09/2019 (H§ 0000517 ngµy 13/09/2019) - Cty ViÖt Gia",331,,14000000,0
2019-09-16,09-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 15092018 ngµy 15/09/2018 (H§ 0002208 ngµy 16/09/2019) - Cty T©n Mai Thµnh,331,,3549000,0
2019-09-20,46-PC,Chi TT tiÒn mua 01 m¸y li t©m sö dông t¹i Khoa Nhi BVXA VL (theo H§ 0002315 ngµy 20/09/2019) - C«ng ty TNHH XNK Nam §«,1111,,12000000,0
2019-09-27,03-CCDC,Mua trèng m¸y m¸y in (H§ 0000263 ngµy 27/09/2019) - Cty c«ng nghÖ Nam Khang,331,,1210000,0
2019-09-27,08-CCDC,NhËp CCDC (H§ 0008062 ngµy 27/09/2019) - Cty Phan Anh,331,,6000000,0
2019-09-28,64-PC,Chi TT tiÒn mua 02 d©y dÉn s¸ng sö dông t¹i phßng kh¸m TMH BVXA VL,1111,,4000000,0
2019-10-11,06-CCDC,NhËp CCDC (H§ 0009578 ngµy 11/10/2019) - Cty Phan Anh,331,,6000000,0
2019-10-23,04-CCDC,NhËp CCDC (H§ 0010571 ngµy 23/10/2019) - Cty Phan Anh,331,,12240000,0
2019-10-24,02-CCDC,"Mua bo formater m¸y in, thay bé lÊy giÊy (H§ 0000320 ngµy 24/10/2019) - Cty c«ng nghÖ Nam Khang",331,,3685000,0
2019-10-28,05-CCDC,NhËp CCDC (H§ 0010896 ngµy 28/10/2019) - Cty Phan Anh,331,,840000,0
2019-10-28,07-CCDC,Mua 01 c¸i bµn kh¸m s¶n phô khoa (H§ 0000552 ngµy 28/10/2019) - Cty Phana,331,,13970000,0
2019-10-30,01-CCDC,NhËp CCDC (lÇn 2 H§ 0010934 ngµy 28/10/2019) - Cty Phan Anh,331,,850000,0
2019-11-06,04-CCDC,NhËp CCDC (H§ 0011888 ngµy 06/11/2019) - Cty Phan Anh,331,,5280000,0
